date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-02-01,17968.11,0,0,4,63,51.5,48.5,180.2,182.0,196.7
2024-02-02,18059.93,0,1,4,80,51.3,47.4,181.4,183.2,198.1
2024-02-05,18096.07,1,1,5,112,45.4,42.5,180.2,182.0,196.4
2024-02-15,18644.57,0,2,8,123,56.2,51.5,183.8,185.7,201.1
2024-02-16,18607.25,0,1,6,64,69.1,62.4,185.5,187.3,204.9
2024-02-19,18635.8,0,1,6,51,77.3,72.0,185.1,187.0,204.6
2024-02-20,18753.16,0,0,6,46,75.6,69.5,184.6,186.4,202.7
2024-02-21,18676.31,0,0,5,46,78.4,71.0,184.5,186.3,203.8
2024-02-22,18852.78,0,0,7,48,77.6,70.4,185.9,187.8,207.0
2024-02-23,18889.19,0,0,6,65,70.8,66.2,185.9,187.7,209.6
2024-02-26,18948.05,0,0,3,54,73.0,68.8,187.5,189.4,211.5
2024-02-27,18854.41,0,0,6,78,64.8,63.8,185.7,187.5,210.4
2024-02-29,18966.77,0,0,5,62,69.8,67.5,189.2,191.1,214.6
