date,margin_purchase_money
2024-01-02,248424271000.0
2024-01-03,249224908000.0
2024-01-04,249729179000.0
2024-01-05,248996724000.0
2024-01-08,248150571000.0
2024-01-09,245574757000.0
2024-01-10,244563783000.0
2024-01-11,244054875000.0
2024-01-12,243706399000.0
2024-01-15,245868197000.0
2024-01-16,247524515000.0
2024-01-17,247860934000.0
2024-01-18,247038390000.0
2024-01-19,246672432000.0
2024-01-22,246311316000.0
2024-01-23,247186801000.0
2024-01-24,248790648000.0
2024-01-25,248578208000.0
2024-01-26,247462895000.0
2024-01-29,247456105000.0
2024-01-30,247968595000.0
2024-01-31,247990488000.0
2024-02-01,246789368000.0
2024-02-02,246644704000.0
2024-02-05,244814252000.0
2024-02-15,245573792000.0
2024-02-16,247787773000.0
2024-02-19,250961873000.0
2024-02-20,252605441000.0
2024-02-21,254128306000.0
2024-02-22,255220537000.0
2024-02-23,253636821000.0
2024-02-26,256076413000.0
2024-02-27,254711190000.0
2024-02-29,257050729000.0
2024-03-01,257180305000.0
2024-03-04,258584531000.0
2024-03-05,259427370000.0
2024-03-06,260731246000.0
2024-03-07,260291774000.0
2024-03-08,255485990000.0
2024-03-11,259204020000.0
2024-03-12,265284534000.0
2024-03-13,263637637000.0
2024-03-14,263153321000.0
2024-03-15,266198701000.0
2024-03-18,269745664000.0
2024-03-19,272006801000.0
2024-03-20,273262861000.0
2024-03-21,277077501000.0
2024-03-22,277985694000.0
2024-03-25,279508015000.0
2024-03-26,276395122000.0
2024-03-27,279423806000.0
2024-03-28,280891238000.0
2024-03-29,276822302000.0
2024-04-01,279105823000.0
2024-04-02,281265696000.0
2024-04-03,282880501000.0
2024-04-08,283664720000.0
2024-04-09,284596762000.0
2024-04-10,284238447000.0
2024-04-11,284108496000.0
2024-04-12,286582653000.0
2024-04-15,285703671000.0
2024-04-16,279599862000.0
2024-04-17,283729847000.0
2024-04-18,285642609000.0
2024-04-19,282037111000.0
2024-04-22,277592877000.0
2024-04-23,277097621000.0
2024-04-24,279213827000.0
2024-04-25,280494004000.0
2024-04-26,281954935000.0
2024-04-29,282639311000.0
2024-04-30,283890973000.0
2024-05-02,287091200000.0
2024-05-03,287756416000.0
2024-05-06,289184522000.0
2024-05-07,289186701000.0
2024-05-08,290416728000.0
2024-05-09,289983074000.0
2024-05-10,291968216000.0
2024-05-13,289574837000.0
2024-05-14,290846460000.0
2024-05-15,289642159000.0
2024-05-16,289973804000.0
2024-05-17,290847960000.0
2024-05-20,290049785000.0
2024-05-21,290441319000.0
2024-05-22,291609298000.0
2024-05-23,291610473000.0
2024-05-24,293822343000.0
2024-05-27,298574843000.0
2024-05-28,298557388000.0
2024-05-29,298691555000.0
2024-05-30,299032337000.0
2024-05-31,299532435000.0
2024-06-03,301237821000.0
2024-06-04,300628955000.0
2024-06-05,302355018000.0
2024-06-06,303619654000.0
2024-06-07,304633093000.0
2024-06-11,303408228000.0
2024-06-12,303614391000.0
2024-06-13,304361363000.0
2024-06-14,306531783000.0
2024-06-17,307628696000.0
2024-06-18,308114023000.0
2024-06-19,309452784000.0
2024-06-20,311708725000.0
2024-06-21,315207621000.0
2024-06-24,315220677000.0
2024-06-25,317177342000.0
2024-06-26,317565136000.0
2024-06-27,317982947000.0
2024-06-28,317993692000.0
2024-07-01,320183294000.0
2024-07-02,321957358000.0
2024-07-03,325382912000.0
2024-07-04,326590178000.0
2024-07-05,328575653000.0
2024-07-08,330689243000.0
2024-07-09,328711597000.0
2024-07-10,331985335000.0
2024-07-11,334542120000.0
2024-07-12,333684925000.0
2024-07-15,335092411000.0
2024-07-16,335880055000.0
2024-07-17,340495549000.0
2024-07-18,340041155000.0
2024-07-19,336866469000.0
2024-07-22,331601598000.0
2024-07-23,328897658000.0
2024-07-26,331849533000.0
2024-07-29,325475169000.0
2024-07-30,325946717000.0
2024-07-31,328853507000.0
2024-08-01,329197935000.0
2024-08-02,325855472000.0
2024-08-05,307568708000.0
2024-08-06,291262041000.0
2024-08-07,291654137000.0
2024-08-08,293751576000.0
2024-08-09,294958954000.0
2024-08-12,293030367000.0
2024-08-13,293914933000.0
2024-08-14,292831503000.0
2024-08-15,293476780000.0
2024-08-16,293361035000.0
2024-08-19,295418617000.0
2024-08-20,295625821000.0
2024-08-21,297064799000.0
2024-08-22,297607949000.0
2024-08-23,300682540000.0
2024-08-26,302464712000.0
2024-08-27,305042854000.0
2024-08-28,307733658000.0
2024-08-29,311020596000.0
2024-08-30,312261557000.0
2024-09-02,313253489000.0
2024-09-03,313696428000.0
2024-09-04,309735143000.0
2024-09-05,310139829000.0
2024-09-06,309619895000.0
2024-09-09,310998167000.0
2024-09-10,309023332000.0
2024-09-11,309173005000.0
2024-09-12,309706609000.0
2024-09-13,311140460000.0
2024-09-16,312272835000.0
2024-09-18,313122707000.0
2024-09-19,313550801000.0
2024-09-20,312311731000.0
2024-09-23,312767216000.0
2024-09-24,313757764000.0
2024-09-25,314113921000.0
2024-09-26,313195882000.0
2024-09-27,313272604000.0
2024-09-30,316576056000.0
2024-10-01,317042572000.0
2024-10-04,317287821000.0
2024-10-07,318935873000.0
2024-10-08,320397965000.0
2024-10-09,319321854000.0
2024-10-11,319102025000.0
2024-10-14,319539948000.0
2024-10-15,320019575000.0
2024-10-16,322938236000.0
2024-10-17,324936607000.0
2024-10-18,322282075000.0
2024-10-21,323009176000.0
2024-10-22,325455228000.0
2024-10-23,327082648000.0
2024-10-24,326043754000.0
2024-10-25,326961558000.0
2024-10-28,325668918000.0
2024-10-29,324572308000.0
2024-10-30,325848781000.0
2024-11-01,325833120000.0
2024-11-04,326831753000.0
2024-11-05,326564786000.0
2024-11-06,327205349000.0
2024-11-07,329914462000.0
2024-11-08,328677500000.0
2024-11-11,328850933000.0
2024-11-12,326533679000.0
2024-11-13,327772341000.0
2024-11-14,326045610000.0
2024-11-15,326051673000.0
2024-11-18,321930102000.0
2024-11-19,322822398000.0
2024-11-20,322708274000.0
2024-11-21,324387630000.0
2024-11-22,325025883000.0
2024-11-25,326737650000.0
2024-11-26,327107468000.0
2024-11-27,324783934000.0
2024-11-28,320172537000.0
2024-11-29,322530203000.0
2024-12-02,323601502000.0
2024-12-03,324153588000.0
2024-12-04,325445363000.0
2024-12-05,328095552000.0
2024-12-06,328557734000.0
2024-12-09,330172749000.0
2024-12-10,328048331000.0
2024-12-11,327759848000.0
2024-12-12,327707322000.0
2024-12-13,324164354000.0
2024-12-16,320204766000.0
2024-12-17,320885324000.0
